MplusiD,age,gender,race,grade,aspiration,interest1,interest2,interest3,zip,median_income,percent_bachelors
910,17,1,2, , , , , ,26241, , 
911,13,1,4,7,5, , , ,90280,65006,32.3
912,13,0,7,7,6, , , ,12345, , 
914,14,1,7, , , , , ,56721, , 
916,13,1,1,5,6,5,5,5, , , 
916,13,1,1,8,6, , , ,7869,114732,52.5
917,17,1,7, , , , , ,2907,56672,28.7
920,17,1,7, , , , , ,97426,50654,31.1
921,13,1,7, , , , , ,28540,49883,22.3
922,15,0,1,9,5, , , ,76052,65052,31.4
923,15,1,1,4,5,3,3,3, , , 
923,15,1,1,9,5, , , ,48382,77475,47.4
925,13,1,1,7,5, , , ,10475,37397,19.6
928,14,0,7, , , , , ,35080,73031,43.3
930,13,0,3,6,6, , , ,44102,46784,32.6
931,15,1,7,7,6, , , ,35953,50934,16.3
932,13,0,7, , , , , ,17543,63407,28
933,13,0,1,7,5, , , ,90038,65006,32.3
934,13,1,3,7,6, , , ,77706,47657,18.9
935,14,1,7, , , , , ,35811,62312,41.3
936,17,1,2, , , , , ,10472,37397,19.6
938,14,0,3,8,5, , , ,35211,50709,33.3
940,17,0,2, , , , , ,77088,58645,30.7
941,17,0,6, , , , , ,98223,82595,31.9
942,15,0,7, , , , , ,32703,54107,34.1
945,15,1,7, , , , , ,11758,108133,45.1
948,13,1,2, , , , , ,23040, , 
949,17,0,3,2,6,5,4,5, , , 
949,17,0,3,11,6, , , ,92308,60420,20.5
950,17,0,1,2,5,4,4,4, , , 
950,17,0,1,11,5, , , ,29020,50010,22.6
951,14,1,7, , , , , ,16142,49967,22.7
952,14,1,4,7,4, , , ,78387,51012,13.7
954,13,1,7, , , , , ,2494,100829,53.5
955,15,1,7, , , , , ,37737,50675,23.1
957,14,1,7, , , , , ,23229,67185,45.4
959,15,1,7, , , , , ,47803,41125,23.1
961,16,0,7, , , , , ,53144,61073,25.7
962,17,0,7, , , , , ,44129,46784,32.6
967,15,1,7, , , , , ,43221,59227,38.7
969,13,1,7,1,5,3,3,3, , , 
969,13,1,7,12,5, , , ,28669,40995,16.4
970,17,1,7,12,4, , , ,56633, , 
973,17,1,6, , , , , ,51106,55273,23.4
974,17,0,7, , , , , ,12180,64050,31.8
975,15,1,1,10,2, , , ,94103,110816,57.8
978,15,1,1,4,6,5,5,5, , , 
978,15,1,1,9,6, , , ,7876,114732,52.5
979,15,0,7, , , , , ,70805,55326,35.1
981,16,1,7, , , , , ,15146,58625,41.4
982,14,0,7, , , , , ,22963, , 
984,14,1,7, , , , , ,92683,86217,40.3
986,13,0,7, , , , , ,82604,60546,24.2
987,17,1,1,11,5, , , ,43082,106933,54.3
991,14,0,7, , , , , ,43570, , 
992,17,0,7,11,6, , , ,44203,55419,32.8
993,17,0,4,12,5, , , ,93003,82857,33.4
994,16,0,2, , , , , ,6105,70429,37.8
996,13,0,7, , , , , ,12901,58234,22.1
998,13,1,1,7,5, , , ,95129,119035,51.7
1000,14,0,1,5,5,5,5,5, , , 
1000,14,0,1,8,5, , , ,92823,86217,40.3
1004,15,1,3,3,1,5,5,5, , , 
1004,15,1,3,10,1, , , ,20019,82372,57.3
1007,17,1,7, , , , , ,72432, , 
1009,14,0,1,8,6, , , ,92505,63944,22.2
1013,14,1,7, , , , , ,43611,47308,26.5
1016,15,1,4,9,5, , , ,10009,85071,60.6
1017,17,0,7,2,5,5,5,5, , , 
1017,17,0,7,11,5, , , ,85546, , 
1021,13,0,2, , , , , ,96741,83860,28.8
1022,14,1,3,5,6,5,5,5, , , 
1022,14,1,3,8,6, , , ,77708,47657,18.9
1024,16,0,7, , , , , ,81001,43148,22.2
1025,17,1,7, , , , , ,91016,65006,32.3
1029,14,0,7, , , , , ,33872,35543,17.8
1032,15,1,4,3,5,5,4,4, , , 
1032,15,1,4,10,5, , , ,70112,36999,35.3
1033,13,0,7, , , , , ,91343,65006,32.3
1034,17,1,7, , , , , ,1463,98555,56
1035,16,0,3, , , , , ,85007,62223,32.3
1038,13,1,7, , , , , ,18056,61058,23.8
1039,16,1,7, , , , , ,17403,63519,25.3
1040,17,1,7, , , , , ,33063,56842,32.7
1041,15,1,2, , , , , ,37042,58381,28.1
1044,17,1,7, , , , , ,43056,62883,26
1045,13,1,7, , , , , ,76302,43295,22.3
1048,16,0,7, , , , , ,32817,54107,34.1
1050,13,1,7, , , , , ,34230, , 
1051,17,1,7, , , , , ,50595, , 
1052,13,0,7, , , , , ,75214,56718,30.6
1053,15,1,1,9, , , , ,53208,47591,30.7
1056,15,0,3,9,6, , , ,21076,97085,40.7
1058,16,0,7, , , , , ,48858,44100,32.1
1059,17,0,7,12,6, , , ,12401,63621,32.7
1061,14,1,3,8,5, , , ,30311,65037,51.2
1062,14,0,2, , , , , ,10475,37397,19.6
1064,14,0,4,8,4, , , ,78666,66486,26.9
1065,13,1,7, , , , , ,83687,47324,18.1
1067,16,0,7, , , , , ,43212,59227,38.7
1068,13,1,7, , , , , ,46714, , 
1070,13,0,7, , , , , ,43605,47308,26.5
1071,17,1,4,11,6, , , ,33024,56842,32.7
1072,17,0,7,11,1, , , ,54451, , 
1074,15,0,7,3,5,2,3,3, , , 
1074,15,0,7,10,5, , , ,29588,45680,22.7
1075,13,1,7, , , , , ,32837,54107,34.1
1076,13,1,1,5,6,1,3,3, , , 
1076,13,1,1,8,6, , , ,75043,56718,30.6
1077,14,0,7, , , , , ,44601,50984,22.1
1078,15,0,7, , , , , ,90604,65006,32.3
1079,17,1,3,12,2, , , ,75241,56718,30.6
1081,13,0,1,7,5, , , ,92509,63944,22.2
1082,15,1,7, , , , , ,28504, , 
1085,17,0,7, , , , , ,90009, , 
1086,15,0,5, , , , , ,76710,47267,24.6
1087,13,1,3,6,4, , , ,81004,43148,22.2
1089,16,0,7,3,4,4,4,5, , , 
1089,16,0,7,10,4, , , ,6085,70429,37.8
1090,14,1,4,9,2, , , ,75092,56718,19.9
1092,16,0,7, , , , , ,77520,58645,30.7
1094,15,0,7, , , , , ,81050, , 
1095,16,1,1,3,1,2,3,3, , , 
1095,16,1,1,10,1, , , ,40503,56137,43.6
1096,16,0,7, , , , , ,60623,61405,38.6
1097,16,0,4,10,1, , , ,78501,37106,18.7
1100,15,0,7, , , , , ,30549,66557,22.6
1101,17,1,7, , , , , ,85140,52788,19.5
1102,15,1,4,3,6,5,4,4, , , 
1102,15,1,4,10,6, , , ,90701,65006,32.3
1103,15,0,2, , , , , ,32746,64049,41.6
1106,14,0,7, , , , , ,13122,57069,27.5
1108,15,0,4,3,6,3,3,3, , , 
1108,15,0,4,10,6, , , ,53719,72268,51.5
1109,15,1,3,4,6,4,4,4, , , 
1109,15,1,3,9,6, , , ,21234,73805,39.1
1110,17,0,7, , , , , ,33610,54731,33.3
1114,15,1,7, , , , , ,78251,54175,27.8
1121,14,1,7, , , , , ,11369,64509,30.9
1122,14,0,7,5,5,5,3,4, , , 
1122,14,0,7,8,5, , , ,17702,50909,24.1
1123,15,0,3,9,6, , , ,36769, , 
1124,15,0,7, , , , , ,32073,65247,22
1127,16,0,7, , , , , ,67218,53923,31
1128,16,0,4,9,2, , , ,8532, , 
1129,17,1,3,3,5,2,1,1, , , 
1129,17,1,3,10,5, , , ,33619,54731,33.3
1133,14,0,7, , , , , ,63834, , 
1134,13,1,7, , , , , ,77316,76811,33.1
1135,17,1,7, , , , , ,70079, , 
1136,17,0,4,2,1,3,3,4, , , 
1136,17,0,4,11,1, , , ,78001, , 
1137,17,1,7, , , , , ,8016,87673,37.3
1138,15,0,7, , , , , ,24818, , 
1141,16,1,7, , , , , ,92647,86217,40.3
1144,13,1,7, , , , , ,60601,61405,38.6
1147,17,0,7,11,5, , , ,66080, , 
1149,14,0,4,8,6, , , ,33331,56842,32.7
1151,17,0,3, , , , , ,10028,85071,60.6
1152,13,0,1,7,6, , , ,6512,66863,34.2
1153,14,1,3,4,5,4,4,4, , , 
1153,14,1,3,9,5, , , ,90029,65006,32.3
1155,15,1,2, , , , , ,30152,75654,46.7
1156,15,0,3,3,6,5,5,5, , , 
1156,15,0,3,10,6, , , ,44333,55419,32.8
1157,13,1,3, , , , , ,32209,52062,29.4
1159,16,0,3,3,6,4,4,5, , , 
1159,16,0,3,10,6, , , ,75203,56718,30.6
1160,15,1,7, , , , , ,33139,49930,29.3
1161,15,1,7,4,5,3,3,2, , , 
1161,15,1,7,9,5, , , ,71913,46101,19.5
1163,13,1,7, , , , , ,45248,55048,37.3
1164,17,0,7, , , , , ,84092,71471,36
1166,15,1,3,3,4,3,3,3, , , 
1166,15,1,3,10,4, , , ,32560, , 
1167,16,1,7, , , , , ,74331, , 
1169,13,1,7, , , , , ,76513,52479,26.9
1170,17,1,7, , , , , ,39817, , 
1171,14,1,7, , , , , ,62801, , 
1173,15,1,7, , , , , ,10001,85071,60.6
1174,16,1,7, , , , , ,75032,94848,42.6
1176,13,1,4,7,1, , , ,10033,85071,60.6
1180,16,1,7, , , , , ,37857, , 
1182,16,1,7,11,3, , , ,33810,48475,19
1185,17,0,1,11,6, , , ,94127,110816,57.8
1186,15,1,7, , , , , ,13021,56599,22.4
1189,17,0,7, , , , , ,21014,80476,35.3
1191,14,0,3,4,1,4,4,3, , , 
1191,14,0,3,9,1, , , ,20136,100845,40.1
1193,16,1,3,10,2, , , ,44128,46784,32.6
1194,17,1,3,1,6,5,4,5, , , 
1194,17,1,3,12,6, , , ,7503,64233,27.9
1195,14,1,3, , , , , ,76543,52479,26.9
1196,14,0,7, , , , , ,33903,53928,27.3
1197,15,1,1,7,6, , , ,8628,79173,43.9
1198,17,1,7, , , , , ,72855, , 
1199,14,0,7, , , , , ,55972, , 
1201,15,0,7,4,5,5,5,5, , , 
1201,15,0,7,9,5, , , ,62254,51670,28.5
1203,14,0,7, , , , , ,84029,72386,27.5
1204,14,0,7, , , , , ,35802,62312,41.3
1205,13,1,2, , , , , ,43119,59227,38.7
1208,17,0,1,11, , , , ,10003,85071,60.6
1211,14,1,3,5,5,2,1,3, , , 
1211,14,1,3,8,5, , , ,29223,51946,37.4
1213,15,0,3,3,6,5,5,5, , , 
1213,15,0,3,10,6, , , ,32765,64049,41.6
1215,15,0,7, , , , , ,32806,54107,34.1
1216,15,0,7, , , , , ,32827,54107,34.1
1219,17,1,7, , , , , ,17846,51726,23.4
1220,16,0,7, , , , , ,33172,49930,29.3
1221,15,1,7,4,2,2,3,3, , , 
1221,15,1,7,9,2, , , ,66801, , 
1224,15,0,4,4,5,4,3,4, , , 
1224,15,0,4,9,5, , , ,75211,56718,30.6
1225,15,1,7, , , , , ,56716, , 
1226,17,1,2, , , , , ,95757,63045,30.5
1227,13,0,3,5,1,2,2,3, , , 
1227,13,0,3,8,1, , , ,44705,50984,22.1
1232,15,1,7,5,6,4,4,4, , , 
1232,15,1,7,8,6, , , ,65453, , 
1233,15,0,3,4,6,4,4,4, , , 
1233,15,0,3,9,6, , , ,42141, , 
1236,13,0,3, , , , , ,22315,118279,61.4
1237,14,1,3,7,4, , , ,39773, , 
1239,15,0,1,4,6,3,4,4, , , 
1239,15,0,1,9,6, , , ,94025,116653,51.6
1241,14,1,3,7,6, , , ,65202,51340,45.7
1245,17,0,1,12,6, , , ,96782,81284,34.7
1246,14,0,4,4,5,2,3,3, , , 
1246,14,0,4,9,5, , , ,45840,51360,27.8
1247,13,1,1,8,6, , , ,98038,89675,51.5
1251,13,1,4,7,5, , , ,78227,54175,27.8
1252,13,0,7,8,6, , , ,40744, , 
1253,14,0,7, , , , , ,30180,50100,23
1254,16,0,1,10,1, , , ,77498,90845,46.7
1256,15,1,7, , , , , ,61341,56896,18.7
1257,16,0,3,3,6,1,2,2, , , 
1257,16,0,3,10,6, , , ,70114,36999,35.3
1258,16,1,7, , , , , ,32713,46901,22.7
1259,17,1,7, , , , , ,30907,74164,35.5
1261,14,0,7, , , , , ,70123,51494,25.1
1264,16,0,7, , , , , ,2721,67842,28.9
1265,13,0,2, , , , , ,25320,42197,25.7
1266,16,1,7, , , , , ,40216,55044,33.5
1270,16,0,3,2,5,2,3,3, , , 
1270,16,0,3,11,5, , , ,30906,37324,21.1
1273,14,0,1,9,6, , , ,14606,57561,37.3
1274,14,0,2, , , , , ,21217,47131,30.6
1276,16,1,3, , , , , ,76065,72138,22.1
1278,14,1,2, , , , , ,60101,89521,50.1
1284,17,0,6, , , , , ,40914, , 
1286,14,0,7, , , , , ,33014,49930,29.3
1287,15,1,3,1,4,2,3,1, , , 
1287,15,1,3,12,4, , , ,30331,65037,51.2
1288,16,1,7,3,6,2,3,2, , , 
1288,16,1,7,10,6, , , ,12020,83726,42.1
1290,15,1,7, , , , , ,80550,68884,27.5
1292,17,0,7, , , , , ,27576,58111,22.1
1293,15,0,7, , , , , ,70548, , 
1296,13,0,4,7,5, , , ,90004,65006,32.3
1301,13,0,7,6, , , , ,50401, , 
1302,16,1,1,4,5,3,3,3, , , 
1302,16,1,1,9,5, , , ,21234,73805,39.1
1306,15,0,7, , , , , ,39466, , 
1309,16,0,7, , , , , ,13082,57069,27.5
1311,13,0,2, , , , , ,21903,74912,24.7
1314,17,1,3,11,1, , , ,10002,85071,60.6
1316,15,0,8, , , , , ,19130,39759,28.3
1317,16,0,4,2,5,5,5,5, , , 
1317,16,0,4,11,5, , , ,80249,65224,49.3
1320,17,1,7,2,5,2,2,2, , , 
1320,17,1,7,11,5, , , ,1536,70402,36.5
1321,14,1,7, , , , , ,93710,51800,20.4
1322,15,0,7,3,5,4,4,5, , , 
1322,15,0,7,10,5, , , ,91768,65006,32.3
1323,17,0,1,11,5, , , ,22191,100845,40.1
1324,14,0,3,5,6,3,3,3, , , 
1324,14,0,3,8,6, , , ,61101,53337,21.4
1330,13,0,7, , , , , ,37329, , 
1332,13,1,3,7,5, , , ,27407,52098,35.7
1334,16,1,7, , , , , ,20147,135842,62.1
1338,13,0,4,7,3, , , ,10308,79201,33.1
1340,15,0,3,9,2, , , ,77067,58645,30.7
1341,16,1,7, , , , , ,92592,63944,22.2
1342,15,0,7, , , , , ,32907,52540,30
1343,14,0,2, , , , , ,75043,56718,30.6
1345,15,1,7, , , , , ,2124,66459,44.7
1346,16,0,1,3,6,3,3,3, , , 
1346,16,0,1,10,6, , , ,80111,75357,43.7
1348,14,1,3,1,5,3,3,3, , , 
1348,14,1,3,12,5, , , ,29209,51946,37.4
1349,15,0,7, , , , , ,46236,47344,32
1350,17,0,1,11,5, , , ,11412,64509,30.9
1351,17,0,3, , , , , ,28227,65588,46.1
1353,13,1,7, , , , , ,95673,63045,30.5
1354,15,0,1,9,6, , , ,11218,56942,37.1
1358,13,0,7,7, , , , ,49707, , 
1359,14,1,7,8,3, , , ,55720, , 
1360,13,0,7, , , , , ,28328, , 
1361,16,1,7, , , , , ,98136,89675,51.5
1364,15,1,2, , , , , ,88401, , 
1366,13,0,4,7,6, , , ,10033,85071,60.6
1367,13,0,7, , , , , ,96007,52439,23
1368,15,0,1,3,3,3,2,3, , , 
1368,15,0,1,10,3, , , ,92683,86217,40.3
1369,16,0,7,10,5, , , ,72501, , 
1370,16,1,1,1,6,4,4,4, , , 
1370,16,1,1,12,6, , , ,11951,94750,36.5
1371,15,1,4,11,6, , , ,14213,55604,34.4
1373,15,0,3,9,6, , , ,30106,75654,46.7
1375,14,1,7, , , , , ,53207,47591,30.7
1379,14,1,4,4,6,4,4,5, , , 
1379,14,1,4,9,6, , , ,60559,89521,50.1
1380,13,1,3,7,6, , , ,27401,52098,35.7
1381,15,0,3, , , , , ,71202,40161,23.6
1382,14,0,4,8,6, , , ,85259,62223,32.3
1383,14,1,7, , , , , ,67214,53923,31
1384,14,1,2, , , , , ,6492,66863,34.2
1385,15,1,7, , , , , ,33612,54731,33.3
1387,14,1,7, , , , , ,77651,47657,18.9
1388,13,1,7,7,5, , , ,76655,47267,24.6
1389,16,1,7, , , , , ,28698, , 
1390,15,1,3,4,5,3,4,4, , , 
1390,15,1,3,9,5, , , ,89129,57189,24.4
1392,16,1,7, , , , , ,91913,76207,38.8
1393,15,0,3,4,5,2,3,3, , , 
1393,15,0,3,9,5, , , ,43016,59227,38.7
1394,16,0,3,3,5,3,3,1, , , 
1394,16,0,3,10,5, , , ,35810,62312,41.3
1395,13,0,7, , , , , ,26301,58082,21.3
1397,17,1,4,4,1,1,1,1, , , 
1397,17,1,4,9,1, , , ,32118,46901,22.7
1403,13,0,3,5,5,5,4,5, , , 
1403,13,0,3,8,5, , , ,15216,58625,41.4
1404,15,1,3, , , , , ,30274,45172,16.4
1405,15,1,7, , , , , ,84078, , 
1407,16,1,7,3,4,1,5,2, , , 
1407,16,1,7,10,4, , , ,33543,51347,23.3
1408,13,1,7, , , , , ,80122,75357,43.7
1409,17,1,7, , , , , ,17522,63407,28
1410,15,0,7, , , , , ,2725,67842,28.9
1411,17,0,3,2,6,5,5,5, , , 
1411,17,0,3,11,6, , , ,85306,62223,32.3
1412,16,0,7, , , , , ,76244,65052,31.4
1414,17,1,7, , , , , ,75254,56718,30.6
1416,15,1,7, , , , , ,43701,43113,16
1419,13,0,7, , , , , ,34613,44892,18.9
1424,16,0,1,3,6,1,2,2, , , 
1424,16,0,1,10,6, , , ,92130,76207,38.8
1425,16,1,7, , , , , ,15623,60713,30.5
1426,13,1,3,7,5, , , ,28348,43759,23.9
1427,15,0,3,5,6,5,5,5, , , 
1427,15,0,3,8,6, , , ,23504,49445,29.2
1430,14,0,7, , , , , ,35180,50709,33.3
1434,13,1,7, , , , , ,76031,62482,18.5
1437,16,1,7, , , , , ,33144,49930,29.3
1440,16,1,7, , , , , ,37801,50675,23.1
1441,13,0,7, , , , , ,40272,55044,33.5
1443,14,0,7,5,4,3,3,3, , , 
1443,14,0,7,8,4, , , ,35765, , 
1446,15,1,1,10,6, , , ,2188,100829,53.5
1447,14,0,7,8,5, , , ,17244,60459,23.7
1450,17,0,2, , , , , ,84790,54842,26.9
1451,15,1,2, , , , , ,77530,58645,30.7
1453,15,3,1,10,5, , , ,95138,119035,51.7
1454,16,1,2, , , , , ,60056,61405,38.6
1456,13,1,3,7,6, , , ,18324, , 
1457,15,1,7, , , , , ,98058,89675,51.5
1458,15,1,1,4,5,3,4,4, , , 
1458,15,1,1,9,5, , , ,96817,81284,34.7
1460,15,0,3,3,1,4,4,4, , , 
1460,15,0,3,10,1, , , ,90802,65006,32.3
1461,16,1,7, , , , , ,48430,46298,20.9
1462,16,0,7, , , , , ,12901,58234,22.1
1463,15,1,3,9,5, , , ,28043,40570,19.7
1465,17,0,7, , , , , ,49534,61125,36.5
1466,13,1,3,7,5, , , ,30906,37324,21.1
1468,16,0,7, , , , , ,25938, , 
1471,15,0,7,3,4,5,5,4, , , 
1471,15,0,7,10,4, , , ,72556, , 
1472,13,0,7,2,5,4,4,4, , , 
1472,13,0,7,11,5, , , ,48360,77475,47.4
1476,13,0,7, , , , , ,29588,45680,22.7
1477,14,1,1,5,5,2,3,2, , , 
1477,14,1,1,8,5, , , ,66223,82855,55.8
1478,14,0,7, , , , , ,6877,91198,47.1
1480,15,0,7, , , , , ,75094,94933,52
1481,13,0,7, , , , , ,46227,47344,32
1483,17,0,4,2,5,4,4,5, , , 
1483,17,0,4,11,5, , , ,32137,49652,25
1484,13,0,4,7,5, , , ,33165,49930,29.3
1488,14,1,2, , , , , ,19805,66647,35.2
1489,14,1,7, , , , , ,70605,52319,24.9
1490,14,0,7, , , , , ,37091, , 
1492,13,0,7, , , , , ,65646, , 
1494,15,0,7, , , , , ,24620, , 
1495,17,1,3,10,4, , , ,70126,36999,35.3
1496,16,0,7,2,6,5,5,5, , , 
1496,16,0,7,11,6, , , ,1507,70402,36.5
1497,16,0,1,11,6, , , ,30161,45854,18.9
1498,16,0,7, , , , , ,37407,51302,32.5
1499,16,1,1,11, , , , ,33027,56842,32.7
1500,14,0,7,4,6,4,4,4, , , 
1500,14,0,7,9,6, , , ,49601, , 
1501,14,1,7,7, , , , ,73106,51323,32.7
1503,14,1,1,5,6,4,4,3, , , 
1503,14,1,1,8,6, , , ,300244, , 
1504,17,1,3,3,3,4,4,4, , , 
1504,17,1,3,10,3, , , ,35474, , 
1505,16,0,3,3,1,5,5,5, , , 
1505,16,0,3,10,1, , , ,49037,45386,21.9
1506,13,1,7, , , , , ,10010,85071,60.6
1507,15,0,7, , , , , ,63841, , 
1508,17,1,7, , , , , ,40977, , 
1509,17,0,7, , , , , ,45833,51542,19.7
1512,14,0,7, , , , , ,14586,57561,37.3
1513,14,1,7, , , , , ,33618,54731,33.3
1516,14,0,7, , , , , ,32696, , 
1517,14,1,3, , , , , ,28215,65588,46.1
1518,13,0,7, , , , , ,15210,58625,41.4
1520,17,0,7, , , , , ,12183,66204,42.8
1521,17,1,3,12,1, , , ,21221,73805,39.1
1522,17,0,7, , , , , ,31211,37444,24.9
1523,14,1,7, , , , , ,94107,110816,57.8
1526,16,0,7, , , , , ,60090,61405,38.6
1527,14,0,1,10,6, , , ,79915,44489,22.9
1529,16,0,7, , , , , ,54302,60793,33.3
1532,14,0,4,5,4,2,1,2, , , 
1532,14,0,4,8,4, , , ,80260,66517,22.9
1534,17,1,7, , , , , ,57401, , 
1537,16,1,2, , , , , ,77083,58645,30.7
1539,15,0,7, , , , , ,73139,51323,32.7
1540,13,1,1,7,6, , , ,33966,53928,27.3
1541,15,0,3,10,5, , , ,38127,49647,31.8
1542,16,1,7, , , , , ,46151,60946,18.6
1543,14,1,7, , , , , ,68003, , 
1545,17,0,7, , , , , ,66223,82855,55.8
1546,16,1,7,10,5, , , ,7083,77326,34.8
1547,13,0,7, , , , , ,38127,49647,31.8
1549,13,1,7, , , , , ,19720,66647,35.2
1550,16,1,1,3,5,2,2,3, , , 
1550,16,1,1,10,5, , , ,55378,98538,41.7
1552,17,0,1,3,3,3,2,3, , , 
1552,17,0,1,10,3, , , ,46231,47344,32
1556,17,1,3,1,5,5,4,4, , , 
1556,17,1,3,12,5, , , ,93550,65006,32.3
1557,14,1,4,5,5,4,4,4, , , 
1557,14,1,4,8,5, , , ,85745,51425,33.6
1558,16,1,7, , , , , ,99224,53360,30.8
1560,16,1,3,3,4,3,3,3, , , 
1560,16,1,3,10,4, , , ,46385,65747,30
1562,16,1,4,3,5,4,4,3, , , 
1562,16,1,4,10,5, , , ,33634,54731,33.3
1564,14, ,3,9,2, , , ,63104,41441,37.1
1565,14,0,1,4,6,4,4,4, , , 
1565,14,0,1,9,6, , , ,60194,61405,38.6
1567,15,0,3,4,6,5,4,4, , , 
1567,15,0,3,9,6, , , ,42141, , 
1571,16,1,3,3,5,5,4,4, , , 
1571,16,1,3,10,5, , , ,35020,50709,33.3
1574,16,0,1,3,6,4,5,5, , , 
1574,16,0,1,10,6, , , ,98528, , 
1575,15,0,4,3,5,3,3,3, , , 
1575,15,0,4,10,5, , , ,60076,61405,38.6
1576,16,1,1,10,5, , , ,92123,76207,38.8
1578,16,0,7, , , , , ,91367,65006,32.3
1582,15,1,1,10,6, , , ,30024,68914,36.5
1583,17,0,3,2,6,3,5,5, , , 
1583,17,0,3,11,6, , , ,75159,56718,30.6
1584,13,1,7, , , , , ,48025,77475,47.4
1586,16,1,7,3,2,3,2,3, , , 
1586,16,1,7,10,2, , , ,44035,54932,23.6
1591,15,1,7, , , , , ,52043, , 
1592,13,0,7,7,2, , , ,49344,62853,23.5
1593,16,0,7, , , , , ,6001,70429,37.8
1594,14,1,1,5,6,3,4,4, , , 
1594,14,1,1,8,6, , , ,7076,77326,34.8
1596,13,1,1,7,5, , , ,92131,76207,38.8
1598,15,0,3,4,5,4,4,4, , , 
1598,15,0,3,9,5, , , ,76082,75823,26.4
1602,14,1,7,5,3,3,2,4, , , 
1602,14,1,7,8,3, , , ,31027, , 
1604,15,0,7,4,6,1,1,1, , , 
1604,15,0,7,9,6, , , ,98405,69278,26
1605,14,1,4,4,5,4,3,3, , , 
1605,14,1,4,9,5, , , ,89029,57189,24.4
1606,16,0,4,3,5,3,3,2, , , 
1606,16,0,4,10,5, , , ,93701,51800,20.4
1609,16,0,1,10,6, , , ,48170,45135,23.4
1613,17,0,7, , , , , ,12561,63621,32.7
1614,14,0,7, , , , , ,8094,86496,34.4
1616,17,0,3,2,4,2,2,3, , , 
1616,17,0,3,11,4, , , ,32311,51642,46.9
1617,17,0,7, , , , , ,48093,60380,24.8
1620,14,1,7, , , , , ,92805,86217,40.3
1621,15,1,7, , , , , ,44133,46784,32.6
1625,14,1,7, , , , , ,30062,75654,46.7
1626,14,1,1,5,5,3,4,3, , , 
1626,14,1,1,8,5, , , ,75063,56718,30.6
1629,16,0,7, , , , , ,50125, , 
1630,16,0,7, , , , , ,90046,65006,32.3
1631,16,1,7, , , , , ,85302,62223,32.3
1635,15,1,4,4,6,4,4,4, , , 
1635,15,1,4,9,6, , , ,12733,55309,28.9
1636,17,0,4,2,5,2,3,3, , , 
1636,17,0,4,11,5, , , ,98948,47402,17.6
1637,15,0,6, , , , , ,89121,57189,24.4
1638,17,1,1,11, , , , ,35758,62312,41.3
1640,13,1,3, , , , , ,46375,54981,22.6
1641,17,1,2, , , , , ,19133,39759,28.3
1642,14,1,7, , , , , ,56278, , 
1644,16,0,7,10, , , , ,38754, , 
1645,13,0,7, , , , , ,33410,60057,36.2
1646,15,0,2, , , , , ,76013,65052,31.4
1648,17,0,4,2,6,3,3,3, , , 
1648,17,0,4,11,6, , , ,92879,63944,22.2
1649,16,1,7, , , , , ,13203,57652,35.9
1650,13,0,4,5,5,4,3,3, , , 
1650,13,0,4,8,5, , , ,94602,96296,46.4
1651,14,0,7, , , , , ,65781,45117,31.2
1653,15,1,1,5,1,3,4,4, , , 
1653,15,1,1,8,1, , , ,2478,98555,56
1654,13,1,3,7,5, , , ,90805,65006,32.3
1655,13,0,2, , , , , ,19611,61058,23.8
1656,16,1,7,11,5, , , ,35023,50709,33.3
1657,15,1,7, , , , , ,27040,50185,34
1658,14,0,7, , , , , ,37891, , 
1659,16,0,7, , , , , ,19015,73854,40.3
1664,13,0,1,5,5,4,4,4, , , 
1664,13,0,1,8,5, , , ,80230,65224,49.3
1667,14,1,7, , , , , ,98104,89675,51.5
1673,16,1,7, , , , , ,98105,89675,51.5
1677,14,0,3, , , , , ,89134,57189,24.4
1682,17,0,7, , , , , ,19468,87304,50.2
1683,14,1,7, , , , , ,11421,64509,30.9
1687,14,1,1,5,6,5,5,5, , , 
1687,14,1,1,8,6, , , ,21128,73805,39.1
1688,17,1,7, , , , , ,70726,60471,16.4
1691,16,0,4,2,6,3,3,4, , , 
1691,16,0,4,11,6, , , ,15232,58625,41.4
1693,13,1,7, , , , , ,77657, , 
1694,13,0,7, , , , , ,25621, , 
1697,15,0,7, , , , , ,21040,80476,35.3
1700,15,1,3,10,5, , , ,78218,54175,27.8
1702,14,0,1,5,5,4,3,3, , , 
1702,14,0,1,8,5, , , ,30301, , 
1705,15,0,7, , , , , ,32757,51383,24.6
1708,17,0,4,1,5,4,4,4, , , 
1708,17,0,4,12,5, , , ,32826,54107,34.1
1711,16,0,3, , , , , ,22902, , 
1714,17,0,7, , , , , ,92392,60420,20.5
1715,15,1,7,3,4,3,3,2, , , 
1715,15,1,7,10,4, , , ,44312,55419,32.8
1718,17,0,4,11,4, , , ,92201,63944,22.2
1719,15,0,7,9,5, , , ,8033,66196,32.7
1720,16,0,1,10,6, , , ,90210,65006,32.3
1722,14,0,7, , , , , ,84074,72386,27.5
1724,14,1,7, , , , , ,84084,71471,36
1726,15,0,1,3,6,5,5,5, , , 
1726,15,0,1,10,6, , , ,14891, , 
1727,14,1,3, , , , , ,14611,57561,37.3
1729,17,1,7, , , , , ,76426,58839,14.8
1734,13,1,1,6,6, , , ,1915,75480,39.9
1735,17,0,3,2,1,2,1,2, , , 
1735,17,0,3,11,1, , , ,34479,43910,21.9
1736,16,1,7, , , , , ,17856, , 
